IAUNAME,PID,AID
J113055.30-012406.4,17,0
J113356.68-023706.7,30,0
J113320.98-015827.5,21,0
J114134.39-011200.3,30,0
J114607.02-014607.6,28,0
J114942.44-020213.9,20,0
J115612.20-032600.3,13,0
J115058.96-030744.9,29,0
J115107.80-020213.3,41,0
J115449.70-014117.8,17,0
J115727.09-013542.9,23,0
J120413.21-025503.5,27,0
J120123.26-034100.3,33,0
J115800.37-022809.5,20,0
J121502.72-015721.9,27,0
J121927.04-022947.6,33,0
J122504.82-022111.7,18,1
J124049.00-024942.8,19,0
J124201.13-020202.1,33,0
J124149.65-020510.2,18,0
J125423.96-023957.1,45,0
J124935.91-012612.1,12,1
J125011.39-012653.2,20,0
J125526.06-021334.1,28,0
J125859.91-024309.7,21,0
J131726.42-014607.2,47,0
J155124.37-003906.9,32,0
J161734.43+003427.9,60,0
J171208.03+640550.5,40,0
J171120.00+640733.8,25,0
J170317.34+605253.8,24,0
J165755.83+610127.0,34,0
J172917.24+625238.7,21,0
J170911.06+632940.0,26,0
J174026.76+570659.7,30,0
J174358.07+535815.6,54,0
J153528.07-002454.4,43,0
J172309.54+583533.6,25,0
J172325.92+583510.2,32,0
J215518.00-004031.7,43,0
J214855.14+010953.4,54,0
J220624.52+000634.5,31,0
J222715.71+003056.3,35,1
J223052.22-010840.0,42,0
J222924.21-010017.7,24,0
J224733.90-000229.5,47,0
J224104.74-000421.1,30,0
J224230.62+010835.7,29,0
J224604.56+010029.3,38,3
J224957.04+004532.9,26,0
J225558.24-003651.2,48,0
J230146.73+003053.7,49,0
J230656.34+005010.8,48,0
J231853.19-005631.4,33,0
J231512.62-011458.3,13,2
J231547.39+010734.2,53,0
J232503.81+000107.2,8,3
J233519.86-010252.0,34,0
J232927.62-002046.1,44,0
J234121.42-010638.7,33,0
J234435.68+010709.9,46,0
J235856.53-010742.7,31,0
J235916.67+003822.4,36,0
J000224.65+003206.5,29,0
J000253.20+005649.6,36,0
J000348.78+005646.1,24,0
J001151.90-001935.3,39,0
J000924.17+003216.2,19,0
J001759.74-002731.4,34,0
J001647.14-002803.2,37,0
J001524.52-002547.5,43,0
J000829.60-002008.8,21,0
J000949.37-004103.0,32,0
J001246.12+004728.0,45,0
J001426.40+000651.8,43,0
J001455.87+004351.3,25,0
J001620.79+011113.8,41,0
J001707.10+001949.5,33,0
J001831.85+001937.7,63,0
J001917.27-000315.1,37,0
J002336.05-010340.0,45,0
J002345.08-010029.9,17,0
J002501.26-005337.3,35,0
J002409.48-010032.2,25,0
J002333.87-011244.4,32,0
J002334.92-005948.7,27,0
J002220.34-005433.4,40,0
J001951.05-004347.0,46,0
J002034.97-000721.7,46,0
J002257.78+000712.4,39,0
J002414.40+001936.3,44,0
J002312.34+003956.3,62,0
J002907.63-000846.3,45,0
J002852.07-002116.1,41,0
J002735.84+011541.1,46,0
J002901.41+004549.3,19,0
J003506.65-003650.8,28,0
J003310.44-002100.8,33,0
J003239.04-005552.4,34,0
J003241.05+011159.4,10,1
J003137.80+001435.5,34,0
J003846.93+000931.1,43,0
J004556.87+005322.4,34,0
J004727.69+004542.3,28,0
J004902.39+003128.7,51,0
J005105.27+004600.3,44,0
J005054.59+004559.9,31,0
J005603.96+004251.6,38,0
J005526.99-011323.2,43,0
J005900.55+003231.8,32,0
J010102.92+000223.6,39,0
J010551.25-004437.9,22,0
J010548.84-003120.5,31,0
J010553.38-003014.6,25,0
J010603.88-002929.7,34,0
J010514.05-005600.0,20,0
J010521.60-010724.3,29,0
J010148.99-000918.4,20,1
J010442.61+005558.3,29,0
J010258.91-000627.2,32,0
J010436.00+000852.5,24,0
J010754.03+005806.8,7,2
J010645.23-000347.9,20,0
J011521.15-011202.7,31,0
J011346.10+010848.6,33,0
J011538.55+010644.0,29,0
J011745.65+002135.2,25,0
J011717.06+002709.8,32,0
J012241.81-010540.9,32,0
J011835.71-001648.6,40,0
J011529.64+001010.5,43,0
J011938.95+003226.5,29,0
J012125.73-003233.5,27,0
J012814.08+005833.1,33,0
J012840.79+003430.8,21,1
J013102.91+005448.8,19,0
J012902.57+002959.9,27,0
J013641.33-005810.8,22,0
J013722.73-002651.7,39,0
J013413.06-010613.0,16,0
J013040.01-000410.5,25,0
J013132.11+003125.8,21,0
J013152.93+003210.1,31,1
J014641.63-005548.5,30,0
J013940.06+001614.9,27,0
J014147.61+003128.8,41,0
J014751.54-001718.4,20,0
J014759.01-004208.1,36,0
J014957.11-011131.2,21,0
J015140.94+011407.1,17,0
J015447.61-004324.6,27,0
J015442.23-004230.7,41,0
J015503.59+000045.2,42,0
J015535.47+005631.6,25,0
J015627.57+010351.9,28,0
J015644.02+010529.8,30,0
J020045.96-000850.5,20,0
J020420.97-000016.7,37,0
J020538.40+003306.2,18,0
J020622.39+001424.3,34,1
J021053.22-005514.2,40,0
J022042.02-001453.8,47,0
J022758.20-010757.6,28,0
J022752.52-011103.6,42,0
J022820.55+003848.7,42,0
J022959.67+003655.4,35,0
J023220.61+005200.8,27,0
J024332.36-003244.8,27,0
J024939.73-011151.2,39,0
J024647.77-002956.2,31,0
J024613.83-002133.1,38,0
J024443.30+011322.6,43,0
J025214.56+003203.3,9,1
J024953.32-000911.1,53,0
J025430.54+011315.4,37,0
J025846.14+003959.8,46,0
J030038.96+004613.1,31,0
J030509.00+004815.2,20,0
J030501.48+001138.4,29,0
J030529.09-001609.4,21,0
J030932.58+010436.3,29,0
J032407.97-002338.9,47,0
J031755.98+010638.7,35,0
J031916.04+001200.5,43,0
J032705.58-004640.0,27,0
J032200.34-004825.5,33,0
J003910.61+134740.8,23,0
J004211.38+151514.1,20,0
J004302.52+151937.9,28,0
J004259.84+152456.9,15,0
J005817.38+145025.3,31,0
J005038.61+153903.7,14,1
J005502.92+151456.4,33,0
J010350.52+142126.8,42,0
J010214.90+143145.8,28,0
J011007.20+135824.9,37,0
J010724.79+141143.8,30,0
J011558.39+133653.8,40,0
J011539.49+143325.9,19,0
J011232.76+140641.8,36,0
J011108.73+135720.2,32,1
J011256.61+151631.8,33,0
J011523.08+153150.4,46,0
J011950.53+145153.8,31,0
J012337.07+143326.2,30,0
J013651.52+140945.6,27,0
J012953.51+135631.4,33,0
J013224.02+144337.1,40,0
J013459.25+151943.2,0,0
J013527.29+151829.8,19,0
J013717.35+130530.8,12,0
J013651.46+150136.6,24,0
J013955.02+152036.7,30,0
J014413.99+144121.1,20,0
J020421.19+123436.9,0,2
J021421.71+131912.3,22,0
J021131.10+135734.6,22,0
J021325.96+135241.6,23,0
J014750.41+130038.1,23,0
J014559.95+142417.2,34,0
J014708.54+142050.4,29,0
J014917.62+140224.3,31,0
J015543.51+134743.3,21,0
J015311.67+125316.8,38,0
J015003.67+134615.2,21,0
J015350.39+142641.0,23,0
J075222.62+392311.6,34,0
J075153.48+442727.0,32,0
J080035.17+462950.4,43,0
J080936.63+481109.8,36,0
J080840.24+484030.1,30,0
J081508.20+491314.3,14,0
J081955.43+453237.8,45,0
J081639.50+471159.8,24,0
J082747.25+504029.2,30,0
J081728.01+510209.2,27,0
J082457.55+520946.3,24,1
J082707.65+495417.9,14,0
J082808.01+491014.7,36,0
J083313.00+511857.7,35,0
J083013.93+532839.1,38,0
J083353.33+510328.0,18,0
J083900.80+553155.0,26,0
J084122.50+554422.4,23,0
J084659.18+505827.5,30,0
J084936.32+545810.4,37,0
J090812.53+550552.8,14,0
J093554.21+593940.3,30,0
J094804.52+592432.4,25,0
J024214.42-065944.7,26,0
J024151.56-072107.9,38,0
J025333.34-090151.4,24,0
J025147.92-080237.2,11,0
J025012.46-070505.7,19,0
J030607.59-064406.1,34,0
J031603.43-062026.6,16,0
J032620.06-064221.7,31,0
J033354.43-073415.0,14,0
J033356.10-073535.6,31,0
J033156.64-063219.2,37,0
J034412.69-070509.3,24,0
J034128.52-072443.4,29,0
J034250.12-055833.5,29,0
J035217.85-062906.5,22,0
J035512.76-061446.7,35,0
J035910.03-051609.7,25,0
J035942.19-050232.3,29,0
J084828.45+001619.4,51,0
J084742.49+004056.0,31,0
J084513.21+013539.2,36,0
J085628.72+005347.7,50,0
J091353.92-000238.4,22,2
J091045.06-000615.3,36,0
J091206.91+002012.7,40,0
J092353.76+014912.2,25,0
J093034.00-003849.9,40,0
J093049.45+014044.4,23,0
J094507.08+024027.1,32,3
J095024.56+023702.5,26,0
J090344.27+565627.1,16,0
J085949.58+572847.4,38,0
J091151.31+571436.8,19,0
J092036.60+591706.4,16,0
J091802.56+591309.0,23,0
J094115.66+604344.1,20,0
J093911.22+604024.4,21,0
J095205.59+622109.1,23,0
J095228.82+615253.3,16,0
J095836.92+631314.0,28,0
J101124.20+643553.4,27,0
J111139.86+675103.3,23,0
J113154.58+675318.7,41,0
J113228.86+674715.3,34,0
J120755.23+664428.5,24,0
J121318.01+681333.0,31,0
J123724.05+661821.2,20,0
J125517.14+665239.3,17,0
J133030.72+670954.1,30,0
J141041.07+660431.0,29,0
J142652.73+625638.0,25,0
J141719.94+631822.3,26,0
J095914.82+005743.8,21,0
J095937.16+012641.1,10,0
J100321.91+022948.6,15,0
J100910.08+021055.9,35,0
J101322.10+023457.5,13,0
J101905.27+024548.0,23,0
J102000.31+021747.1,28,0
J102223.21+021833.5,29,0
J102421.92+024827.7,29,0
J102438.70+030333.4,20,0
J103143.27+031516.0,37,0
J103534.21+032133.3,25,0
J103853.39+024812.6,16,0
J104239.12+022528.6,21,0
J104527.27+022544.6,47,0
J110232.59+020340.3,20,0
J105901.98+011035.0,35,0
J110341.71+024650.0,0,3
J110419.48+023447.4,40,0
J110714.52+025259.6,11,0
J110739.95+031701.4,25,0
J110917.31+022616.6,18,0
J111252.39+023315.8,39,0
J111309.27+022929.9,23,0
J111308.92+023116.6,19,0
J111355.31+022656.2,17,0
J111255.07+022323.3,0,2
J111313.97+023229.5,28,0
J111340.72+023209.2,28,0
J111603.91+033402.9,23,0
J112508.45+011554.2,37,0
J112635.51+032833.9,18,2
J113403.79+025306.6,14,0
J113843.45+025547.4,21,0
J114421.74+021514.1,23,0
J114151.65+030532.2,30,0
J115053.79+024519.9,20,0
J115917.38+023519.9,13,0
J115233.55+032834.0,45,0
J120616.75+015201.5,23,0
J115943.41+015330.1,20,0
J115957.82+014752.8,27,0
J120837.39+020420.6,24,0
J120616.82+015215.5,27,0
J120704.48+013136.0,26,0
J120958.09+022839.2,17,0
J121538.40+012700.8,22,0
J121608.11+013638.3,27,0
J121239.92+025613.8,13,0
J121249.92+024012.8,18,0
J121728.61+033750.5,32,0
J121720.01+034220.3,23,0
J121712.73+034116.6,5,1
J121731.16+033951.2,29,0
J121717.61+034116.3,18,0
J121840.98+033626.0,31,0
J121905.70+030417.2,24,0
J122035.76+031054.7,26,0
J122731.55+031653.3,23,0
J123344.65+015237.9,25,0
J123324.53+015636.0,15,0
J123256.35+022242.0,25,0
J122812.42+013716.6,28,0
J122808.80+013801.7,18,1
J124413.80+014032.3,56,1
J124437.60+014725.8,42,0
J123950.99+014210.2,12,0
J124509.97+014714.1,30,1
J124518.37+014846.7,38,0
J124509.08+014946.4,34,0
J125803.54+015804.3,20,0
J131108.65+013903.0,11,0
J131137.40+030851.6,19,0
J131048.44+030618.6,18,0
J131147.63+022822.0,32,0
J132302.25+011640.0,20,0
J132142.27+025648.7,32,0
J132642.79+025730.9,32,0
J132652.37+031649.1,35,0
J132757.71+025548.2,36,0
J133906.46+021350.3,24,0
J133540.36+013029.2,37,0
J133502.25+022541.2,32,0
J134430.71+021108.3,24,0
J134255.89+022754.4,33,0
J134212.62+021459.4,30,0
J134321.00+031421.5,23,0
J140114.00+021501.1,42,0
J141912.52+020004.8,35,0
J142504.60+023728.7,43,0
J142916.12+015945.1,31,0
J142538.40+020858.3,36,0
J144453.07+025059.2,23,0
J145359.21+013256.7,44,0
J145619.36+013501.4,45,0
J150504.47+015751.0,20,0
J073855.87+342148.2,54,0
J080221.31+400515.4,28,0
J080100.72+394748.3,33,0
J081711.20+421421.4,16,0
J081422.97+421423.8,38,0
J081129.74+431417.4,44,0
J082003.95+434016.4,39,0
J081653.68+442855.2,51,1
J082206.43+451618.7,58,0
J083100.97+453449.7,43,0
J085732.70+490917.5,25,0
J085500.93+491024.7,18,0
J084749.33+495925.2,49,0
J085320.46+512948.2,22,0
J090706.32+504337.3,0,1
J090239.93+520300.2,26,0
J090412.60+520812.2,26,0
J091338.55+512358.4,24,0
J091218.93+520904.0,33,0
J091315.10+521755.3,14,0
J090712.64+521325.0,26,0
J090918.46+531955.4,29,0
J091024.47+530517.6,17,0
J093024.48+540234.2,21,0
J093434.54+543325.0,26,0
J092141.93+543720.5,29,0
J092150.78+550348.3,41,0
J094200.66+555739.9,27,0
J093926.61+564439.1,33,0
J095243.43+553735.0,21,0
J094210.20+572716.9,32,0
J095117.77+571039.3,17,0
J095159.06+574040.2,21,0
J094921.23+574809.8,25,0
J095642.39+580242.4,20,0
J102247.07+575931.9,20,0
J101820.28+593632.1,30,0
J103118.41+595521.4,36,0
J104702.69+600225.6,30,0
J084056.02+022030.9,34,0
J085210.96+025709.8,36,0
J090403.58+035007.8,34,0
J090617.02+033037.6,34,0
J092501.12+022447.5,20,0
J092337.82+032648.1,40,0
J092412.64+033858.1,23,0
J092635.38+040338.8,41,0
J092655.23+042122.9,24,0
J093059.87+034422.6,25,1
J093307.19+031019.4,47,0
J093051.04+033816.4,31,0
J093622.90+043520.0,27,0
J094343.72+025659.5,25,0
J095407.12+031556.5,22,0
J095002.07+031952.1,27,0
J095031.10+034611.8,21,0
J094750.23+034554.1,21,0
J094543.92+034900.3,31,0
J095256.74+042506.9,35,0
J100140.25+032832.2,26,0
J095933.58+030741.6,32,0
J100311.75+042857.3,29,0
J101623.06+041812.2,41,0
J101735.35+052148.9,25,0
J102332.78+045230.4,30,0
J103017.08+035005.2,35,0
J102824.14+032938.5,27,0
J102819.99+032313.0,23,0
J102820.59+034312.1,29,0
J102816.69+034134.3,40,0
J102942.94+044219.5,46,0
J103317.48+051523.7,27,0
J103702.06+040815.5,26,0
J103528.62+041017.0,24,0
J103505.52+033109.2,30,0
J103448.54+034222.3,19,0
J103523.55+051933.5,25,0
J103821.82+043521.3,27,0
J103908.63+050938.6,34,0
J103904.27+051826.6,35,0
J103934.21+053253.2,27,0
J104421.44+033834.7,28,0
J103902.08+034104.2,52,0
J103932.94+051112.9,42,0
J103847.52+043710.2,29,0
J103942.65+050951.9,27,0
J103900.79+043916.1,21,0
J105038.75+042757.5,18,2
J104810.82+051914.5,30,0
J105352.07+052333.1,36,0
J105705.50+051400.8,28,0
J110116.25+055149.5,26,0
J110120.03+055153.8,26,1
J110117.83+055302.5,19,0
J110242.97+044659.1,30,0
J110353.47+051716.3,23,0
J110441.83+051527.6,30,0
J110734.75+052215.4,40,0
J110951.62+052645.6,29,0
J140520.29+032256.7,34,0
J140251.70+051234.0,26,0
J140928.77+050819.8,22,1
J141757.77+035622.6,30,0
J141515.40+043615.9,29,0
J141809.63+052532.1,37,0
J141810.60+031926.1,24,0
J141942.20+050157.3,23,0
J142327.00+050259.1,23,0
J142911.44+044920.2,36,0
J145507.06+033634.4,34,0
J145215.66+031449.1,42,0
J145218.65+044355.7,46,0
J145726.45+035207.0,0,3
J150508.99+041242.3,36,0
J151116.76+025124.4,23,0
J150802.85+042637.4,44,0
J152015.86+025933.8,27,1
J154547.04+034646.5,42,0
J160005.46+033441.3,52,0
J110730.83+634226.3,26,0
J111415.25+642150.4,26,0
J113434.53+642839.2,31,0
J113701.10+651751.3,31,0
J120323.04+640901.3,30,0
J114553.33+635411.4,34,0
J115454.46+645306.9,16,0
J115747.37+651551.2,27,0
J121915.45+651147.2,27,0
J122434.13+653204.9,21,0
J122541.12+660418.7,20,0
J131140.96+632057.1,22,0
J125715.85+645151.1,29,0
J134524.66+620746.2,29,0
J134506.41+622338.0,20,0
J135532.06+641506.3,12,0
J140527.26+622335.6,22,0
J140259.29+622417.4,24,0
J140325.60+634649.1,29,0
J143145.22+612123.2,31,0
J144606.96+585507.0,28,0
J145935.07+573716.9,36,0
J145923.80+574308.6,34,0
J150922.14+590157.6,23,0
J150627.79+612348.6,25,0
J151419.21+581240.5,36,0
J151356.33+572523.1,25,0
J152000.25+592837.9,33,0
J150753.82+595032.5,17,0
J151943.02+605850.4,25,0
J153435.06+550602.1,34,0
J153523.24+553404.0,20,0
J153530.78+573324.4,23,0
J153159.00+570005.3,26,0
J152341.95+581800.2,41,0
J153317.26+533600.8,28,0
J154127.48+534916.8,40,0
J153300.20+543038.6,24,0
J154320.81+560410.7,42,0
J154501.61+520349.1,35,0
J154453.15+521438.3,29,0
J155037.06+525554.6,43,0
J155136.08+532243.2,28,0
J160123.94+540125.3,35,0
J155738.93+535133.9,38,1
J154857.92+544018.4,32,0
J160528.06+502019.7,46,0
J160324.21+533411.0,38,0
J160928.44+534310.3,29,0
J160932.00+533712.5,25,0
J161011.63+534812.6,34,0
J161159.82+491316.3,47,0
J161249.18+491954.6,40,0
J161031.34+522306.0,43,0
J161952.23+454356.8,45,0
J162252.14+473144.4,18,0
J162615.36+481945.0,38,0
J163531.58+451241.7,32,0
J163541.19+465930.1,38,0
J163848.22+473213.8,49,0
J164244.60+420915.2,35,0
J164336.23+421404.2,23,0
J165101.12+395031.2,33,0
J164431.44+400955.3,54,0
J165252.49+433016.4,68,0
J165302.15+423659.1,50,0
J165953.35+374502.4,40,0
J165506.30+393440.9,20,0
J165619.98+382711.6,57,0
J165711.21+401915.6,52,0
J170259.09+392433.5,48,0
J170144.92+402853.8,50,0
J204131.95-045928.8,51,0
J210022.16-062115.4,39,0
J210223.79-074454.7,43,0
J210642.77-055614.5,35,0
J210540.45-070859.6,32,0
J211848.75-081640.5,38,0
J211651.60-074105.6,33,0
J213725.24-070856.6,42,0
J215312.95-075919.9,31,0
J215301.25-075019.0,45,1
J215111.12-084122.1,35,0
J214900.86-080555.7,29,0
J215317.51-072707.2,50,0
J215429.61-065615.3,38,0
J232244.59-095902.2,27,0
J231753.55-100731.1,27,0
J233103.01-105012.5,22,0
J234046.66-110236.0,13,0
J234651.71-102733.6,18,0
J234309.07-083901.8,19,0
J234632.86-092714.7,16,0
J235007.63-090359.5,15,0
J235451.00-101621.7,11,0
J235427.03-102855.5,35,0
J235410.26-102747.1,25,0
J235402.74-102841.8,20,0
J235406.20-102939.9,15,0
J235240.49-111003.1,26,0
J235243.50-101901.2,18,0
J235100.09-085040.3,21,0
J235226.66-092932.1,32,0
J235246.44-092346.7,28,0
J235300.77-093423.4,28,0
J235447.61-101220.3,14,0
J235602.71-085906.4,19,2
J000402.52-105144.2,14,0
J235939.63-104707.4,26,0
J235618.61-092036.4,19,0
J235507.01-094225.7,25,1
J235548.52-092309.9,25,0
J000206.35-091207.9,27,0
J001050.81-110542.4,22,0
J000425.91-101407.3,22,0
J001147.60-095504.7,36,0
J001907.54-085013.8,0,0
J002212.55-093438.2,23,0
J002530.50-094109.1,16,0
J003222.53-110656.8,27,0
J003009.03-101805.6,21,0
J003947.59-094810.9,46,0
J004121.74-091943.0,33,0
J004148.07-092730.4,45,0
J004130.98-091754.0,30,0
J004241.55-091542.1,29,0
J004818.88-095801.5,26,0
J004044.65-101712.1,31,0
J004131.13-091135.2,26,0
J004143.56-092530.4,33,0
J004150.34-092818.2,35,0
J004433.99-093333.3,23,0
J005652.97-110352.8,34,0
J005747.80-101757.2,23,1
J005401.04-110540.0,19,0
J005515.96-090401.7,40,0
J010009.70-105234.5,31,0
J005630.96-101023.3,34,0
J005558.10-095755.6,23,0
J005713.67-091938.3,32,0
J010435.63-104519.9,18,0
J010500.31-090058.2,24,0
J011244.70-090324.4,32,0
J011750.33-100954.9,24,0
J011322.50-101030.7,35,0
J011843.04-085022.4,19,0
J012037.33-094619.1,24,1
J012732.09-102805.8,23,0
J012731.69-095648.5,13,0
J012636.15-082700.6,17,0
J012735.74-094349.6,8,0
J013308.14-081547.7,29,0
J013652.60-093022.3,38,0
J013844.91-083540.8,27,0
J014636.14-093949.8,34,0
J014648.47-094518.1,28,0
J014505.59-081324.9,32,0
J014817.21-081142.2,23,0
J014634.37-083948.2,25,0
J015725.05-090805.6,27,0
J015328.11-092145.7,37,0
J015410.97-080924.8,29,0
J015149.40-085818.2,22,0
J020237.76-075037.8,50,0
J015952.32-084343.4,24,0
J020335.80-080018.8,10,0
J020720.13-080357.1,18,0
J020845.93-082531.0,11,0
J021537.65-090759.5,15,0
J022151.49-083154.1,36,0
J223619.66+003433.8,50,0
J224802.17+011134.5,30,0
J225619.35+002542.3,40,0
J230622.54-004919.1,36,1
J231854.15+001634.2,19,0
J232951.29+004747.2,26,0
J233622.81-002651.2,33,0
J233954.96+000755.4,32,0
J235113.50-001748.1,27,0
J234920.31+002519.9,15,1
J235939.08-011047.2,30,0
J000002.95+004304.8,22,0
J000910.27-003630.3,16,2
J000639.24+003410.0,37,0
J001437.78-000021.7,34,0
J001650.09+001624.7,23,0
J002905.75-001001.9,45,0
J002833.46-011046.9,26,0
J003136.11+001006.0,34,0
J004250.57-004855.2,50,0
J003851.47-004710.0,24,0
J003314.48-002112.2,30,0
J003707.03+002534.1,19,0
J003855.35+005932.7,31,0
J003933.23+003207.3,34,0
J005611.18-010739.8,40,1
J005620.31-011433.1,26,0
J005231.40-010436.1,14,0
J004937.83+002154.8,32,0
J010409.26-004001.4,48,0
J010105.88+000500.4,47,0
J010251.62+004345.4,37,0
J010850.60-002352.9,25,0
J010744.54-000618.2,31,0
J011012.95+003031.9,20,0
J011107.14+003431.4,29,0
J011328.34+004557.9,29,0
J012338.96-004520.4,37,0
J012301.55-004115.2,28,0
J013409.17-010733.4,31,0
J014403.42-002102.9,31,0
J015138.91-002043.4,31,0
J014823.41+000049.7,31,0
J014122.36+003451.6,23,0
J015757.44-003555.7,30,0
J015631.31-011001.9,49,0
J015619.38+010401.7,16,0
J015553.65+010413.1,28,0
J015626.81+010252.3,28,0
J020003.31+000502.7,41,0
J020133.10+011223.1,29,0
J020337.75+000652.1,19,0
J020258.79-000300.3,24,0
J021838.06+002929.1,43,0
J022810.39+000052.2,39,1
J024028.79-004204.1,39,0
J024848.97-004945.0,28,0
J024721.06-000235.3,26,0
J025814.67-005929.5,27,0
J025155.64-000213.1,51,0
J030020.91+011039.9,32,0
J032003.74+001710.0,47,0
J033943.58+000939.9,25,0
J215429.97-082851.0,22,0
J215421.95-081252.8,39,0
J220204.05-092917.3,29,0
J221005.75-093416.0,26,0
J221006.65-071357.3,28,0
J221203.48-085356.1,27,0
J221116.88-083424.2,29,0
J222822.97-090414.5,22,0
J222627.07-085806.9,24,0
J223914.43-092048.1,16,0
J224612.73-075819.2,27,0
J225658.89-093202.9,22,0
J225049.98-085636.0,23,0
J230345.20-103712.9,22,0
J230336.49-103551.2,22,0
J230018.40-095232.0,16,0
J225819.10-092140.4,13,0
J230046.76-082751.1,23,0
J231314.25-090243.8,18,0
J231515.09-082622.8,32,0
J212312.31+105218.1,65,0
J213025.47+104453.7,49,0
J213309.87+101547.4,38,0
J215045.03+115201.0,62,0
J214906.33+122519.6,62,0
J221038.95+120613.0,45,0
J220751.88+132447.1,20,1
J221207.13+122151.0,30,0
J222959.49+133926.6,49,0
J223328.27+143739.0,32,0
J224107.13+122711.2,29,0
J224537.48+124234.4,26,0
J224215.44+132932.3,29,0
J225302.59+151418.4,47,0
J225809.30+143645.4,28,0
J225951.79+125354.2,32,0
J231453.13+133448.0,38,0
J231306.49+134038.4,48,0
J232501.59+141254.5,36,0
J232430.20+143903.5,44,0
J232159.81+144453.6,59,0
J232711.70+145834.7,45,0
J232416.06+142327.8,39,1
J232643.68+134238.4,30,0
J234051.32+143518.8,25,0
J234015.17+144948.4,37,0
J234626.54+134700.2,28,0
J234644.21+151020.2,25,0
J234917.90+153253.5,15,0
J235444.67+135940.0,22,0
J234701.65+151211.7,43,0
J235426.00+155516.6,28,0
J235439.18+160516.6,19,2
J235601.91+142958.9,12,0
J001033.53+142426.4,16,0
J000911.31+145518.2,32,0
J000241.68+140141.5,19,0
J000538.62+153903.0,20,0
J001618.31+145157.4,19,0
J000903.09+153842.7,30,0
J002227.42+161449.7,29,0
J002727.93+154346.0,24,0
J073255.24+292803.2,36,0
J074436.02+332409.0,49,5
J075051.41+334726.1,43,0
J075151.99+352315.1,51,0
J075208.71+343942.9,37,0
J080259.16+362551.5,29,0
J080304.26+365614.5,31,0
J080718.16+391355.0,37,0
J080822.17+390252.5,37,0
J080527.22+384342.0,30,0
J081243.30+395608.7,31,1
J081017.64+392814.3,43,0
J082543.01+410139.1,25,0
J083350.74+445145.0,52,0
J083233.44+440451.0,17,0
J085151.26+483520.5,28,0
J085422.90+481619.7,31,0
J090549.56+484515.6,29,0
J090315.94+484146.0,29,0
